,spacing,type,metric,value,run
437,64,Wavelet,Spearman,0.6214273068703449,5
442,4,Wavelet_full,Spearman,0.8551018568701116,5
447,32,Wavelet_full,Spearman,0.7491175191946078,5
452,32,Wavelet,Spearman,0.496183345540551,5
457,2,Wavelet_full,Spearman,0.8603750161981377,5
467,32,MAGIC,Spearman,0.4922312879958402,5
512,64,MAGIC,Spearman,0.5134865134865134,5
7,1024,MAGIC,Spearman,-0.4999999999999999,6
52,512,MAGIC,Spearman,0.5030303030303029,6
97,256,MAGIC,Spearman,0.5330827067669173,6
142,128,MAGIC,Spearman,0.3440061222474573,6
187,16,MAGIC,Spearman,0.5571303215812083,6
232,8,MAGIC,Spearman,0.6908339115348521,6
277,4,MAGIC,Spearman,0.7727327719926851,6
317,16,Wavelet,Spearman,0.6097530575283368,6
322,8,Wavelet,Spearman,0.7269200875980824,6
327,4,Wavelet,Spearman,0.8056554633997741,6
332,2,Wavelet,Spearman,0.8343409046882619,6
342,2,MAGIC,Spearman,0.8053882062017624,6
382,16,Wavelet_full,Spearman,0.7670337296308833,6
387,8,Wavelet_full,Spearman,0.8198486851806341,6
392,1024,Wavelet_full,Spearman,0.7999999999999999,6
397,1024,Wavelet,Spearman,0.7,6
402,512,Wavelet_full,Spearman,0.7696969696969697,6
407,512,Wavelet,Spearman,0.7818181818181817,6
412,256,Wavelet_full,Spearman,0.7661654135338345,6
417,256,Wavelet,Spearman,0.687218045112782,6
422,128,Wavelet_full,Spearman,0.7842105263157895,6
427,128,Wavelet,Spearman,0.6438086303939963,6
432,64,Wavelet_full,Spearman,0.7495163064783317,6
437,64,Wavelet,Spearman,0.6032322108271475,6
442,32,Wavelet_full,Spearman,0.7534744555717628,6
447,32,Wavelet,Spearman,0.5524060956196262,6
452,4,Wavelet_full,Spearman,0.853978114799532,6
457,2,Wavelet_full,Spearman,0.8605632072796945,6
467,32,MAGIC,Spearman,0.3941245604351304,6
512,64,MAGIC,Spearman,0.4002405822026075,6
7,1024,MAGIC,Spearman,0.0999999999999999,7
52,512,MAGIC,Spearman,0.0606060606060605,7
97,256,MAGIC,Spearman,0.5285714285714285,7
142,128,MAGIC,Spearman,0.5524464303347487,7
187,16,MAGIC,Spearman,0.5431067274232859,7
232,8,MAGIC,Spearman,0.7188687637056916,7
272,16,Wavelet,Spearman,0.6217200636290863,7
282,4,MAGIC,Spearman,0.7837960918361484,7
322,8,Wavelet,Spearman,0.7465064081985431,7
327,4,Wavelet,Spearman,0.8115592720330111,7
332,2,Wavelet,Spearman,0.8383754980812279,7
342,2,MAGIC,Spearman,0.8153939990660468,7
382,16,Wavelet_full,Spearman,0.7714377231608259,7
387,8,Wavelet_full,Spearman,0.8327387001984626,7
392,1024,Wavelet_full,Spearman,0.8999999999999998,7
397,1024,Wavelet,Spearman,0.8999999999999998,7
402,512,Wavelet_full,Spearman,0.8303030303030302,7
407,512,Wavelet,Spearman,0.6848484848484848,7
412,256,Wavelet_full,Spearman,0.8624060150375938,7
417,256,Wavelet,Spearman,0.7210526315789473,7
422,128,Wavelet_full,Spearman,0.8583489681050658,7
427,128,Wavelet,Spearman,0.6884714130542116,7
432,64,Wavelet_full,Spearman,0.7976630963972736,7
437,64,Wavelet,Spearman,0.564056987316481,7
442,32,Wavelet_full,Spearman,0.725391699638825,7
447,32,Wavelet,Spearman,0.44456069921449,7
452,4,Wavelet_full,Spearman,0.85027318937378,7
457,2,Wavelet_full,Spearman,0.8592232430605998,7
467,32,MAGIC,Spearman,0.4174889449822934,7
512,64,MAGIC,Spearman,0.4810126582278481,7
7,1024,MAGIC,Spearman,-0.0499999999999999,8
52,512,MAGIC,Spearman,0.4363636363636363,8
97,256,MAGIC,Spearman,0.3192982456140351,8
142,128,MAGIC,Spearman,0.4845141700404858,8
187,16,MAGIC,Spearman,0.5815018503167626,8
232,8,MAGIC,Spearman,0.7011904185701938,8
272,16,Wavelet,Spearman,0.6273119081692888,8
282,4,MAGIC,Spearman,0.7862075243951117,8
322,8,Wavelet,Spearman,0.7372839856772442,8
327,4,Wavelet,Spearman,0.8192715266531898,8
332,2,Wavelet,Spearman,0.837001985128139,8
342,2,MAGIC,Spearman,0.8041363224585397,8
382,16,Wavelet_full,Spearman,0.7857893855115021,8
387,8,Wavelet_full,Spearman,0.8249353006544018,8
392,1024,Wavelet_full,Spearman,0.8999999999999998,8
397,1024,Wavelet,Spearman,0.6,8
402,512,Wavelet_full,Spearman,0.8424242424242423,8
407,512,Wavelet,Spearman,0.5515151515151515,8
412,256,Wavelet_full,Spearman,0.8488721804511278,8
417,256,Wavelet,Spearman,0.7,8
422,128,Wavelet_full,Spearman,0.7858299595141701,8
427,128,Wavelet,Spearman,0.5780364372469636,8
432,64,Wavelet_full,Spearman,0.7571163014200989,8
437,64,Wavelet,Spearman,0.5975922811365849,8
442,32,Wavelet_full,Spearman,0.7268527445433137,8
447,32,Wavelet,Spearman,0.4491378356593067,8
452,4,Wavelet_full,Spearman,0.8600125795843827,8
457,2,Wavelet_full,Spearman,0.8606915403463347,8
467,32,MAGIC,Spearman,0.4339017875487979,8
512,64,MAGIC,Spearman,0.4913314533567697,8
7,1024,MAGIC,Spearman,-0.0999999999999999,9
52,512,MAGIC,Spearman,0.315151515151515,9
97,256,MAGIC,Spearman,0.162781954887218,9
142,128,MAGIC,Spearman,0.3552631578947368,9
187,16,MAGIC,Spearman,0.5970673486853387,9
232,8,MAGIC,Spearman,0.7225613779478948,9
272,16,Wavelet,Spearman,0.6272477022171402,9
277,8,Wavelet,Spearman,0.7584161054290679,9
287,4,MAGIC,Spearman,0.7981208852098025,9
327,4,Wavelet,Spearman,0.8192489097070017,9
332,2,Wavelet,Spearman,0.839090949850475,9
342,2,MAGIC,Spearman,0.8155871020868639,9
382,16,Wavelet_full,Spearman,0.7827221190097822,9
387,8,Wavelet_full,Spearman,0.8290368687492282,9
392,1024,Wavelet_full,Spearman,1.0,9
397,1024,Wavelet,Spearman,0.8999999999999998,9
402,512,Wavelet_full,Spearman,0.8727272727272726,9
407,512,Wavelet,Spearman,0.5272727272727272,9
412,256,Wavelet_full,Spearman,0.7894736842105262,9
417,256,Wavelet,Spearman,0.5766917293233083,9
422,128,Wavelet_full,Spearman,0.790587044534413,9
427,128,Wavelet,Spearman,0.6395748987854252,9
432,64,Wavelet_full,Spearman,0.7646277772860051,9
437,64,Wavelet,Spearman,0.5457074570998621,9
442,32,Wavelet_full,Spearman,0.7177806578053134,9
447,32,Wavelet,Spearman,0.4716884512651925,9
452,4,Wavelet_full,Spearman,0.8578282124805389,9
457,2,Wavelet_full,Spearman,0.8558438867970377,9
467,32,MAGIC,Spearman,0.3644323623777085,9
512,64,MAGIC,Spearman,0.2953249282363206,9
