,0
CPNE3,1
TP53INP1,4
PLEKHF2,3
LAPTM4B,0
MATN2,0
POLR2K,1
RNF19A,2
RRM2B,1
KLF10,0
DCAF13,1
RAD21,1
AC023590.1,1
TNFRSF11B,0
ENPP2,0
COL14A1,0
HAS2,0
ATAD2,1
TRIB1,0
LINC00861,2
MYC,0
FAM49B,1
SLA,2
PTK2,1
DENND3,3
PTP4A3,4
LY6E,5
RHPN1,2
GSDMD,2
PARP10,2
GPAA1,2
CYHR1,2
IL33,0
UHRF2,2
DMAC1,1
NFIB,0
PSIP1,1
NDUFB6,1
DNAJA1,1
AQP3,4
DCAF12,1
IL11RA,2
CCL19,2
CCL21,0
CD72,3
TPM2,0
GBA2,2
RNF38,2
PAX5,3
GRHPR,1
TOMM5,1
CEMIP2,0
ANXA1,0
NMRK1,2
UBQLN1,1
GAS1,0
DAPK1,0
CTSL,0
S1PR3,3
CKS2,1
SYK,3
SUSD3,1
NINJ1,0
ANP32B,1
NANS,1
COL15A1,0
NR4A3,0
SLC44A1,0
RAD23B,1
TXN,1
SVEP1,0
LPAR1,0
GNG10,0
UGCG,0
RGS3,0
TNC,0
PHF19,1
TRAF1,2
GSN,0
STOM,0
STRBP,1
NEK6,1
ARPC5L,1
HSPA5,4
ENG,0
ST6GALNAC4,4
FAM102A,2
SH3GLB2,2
C9orf78,2
FAM78A,2
RALGDS,0
VAV2,3
FCN1,4
QSOX2,3
ENTR1,2
EGFL7,0
LCN10,3
NPDC1,0
SAPCD2,1
TUBB4B,1
KLF6,0
ASB13,1
IL2RA,0
RBM17,1
PFKFB3,0
PRKCQ-AS1,2
ITIH5,3
CELF2,2
USP6NL,3
UPF2,1
CCDC3,0
FAM107B,1
MRC1,0
PIP4K2A,1
APBB1IP,2
ITGB1,0
NRP1,0
CUL2,1
CCNY,1
CXCL12,0
RASSF4,0
DEPP1,2
ALOX5,3
WASHC2C,2
NCOA4,1
ARHGAP22,2
WDFY4,3
ZWINT,1
CDK1,1
SAR1A,1
PPA1,1
PALD1,3
VSIR,0
SPOCK2,2
DNAJC9,1
PLAU,0
VDAC2,1
PLAC9,0
TSPAN14,2
MMRN2,0
SNCG,0
ADIRF,0
GLUD1,1
ACTA2,0
FAS,2
CH25H,0
IFIT2,5
IFIT3,5
IFIT1,5
KIF11,1
HHEX,3
PDLIM1,0
BLNK,3
PIK3AP1,3
LCOR,2
ARHGAP19,1
PGAM1,1
ARMH3,2
WBP1L,0
ATP5MD,1
DUSP5,0
SMC3,1
SHOC2,1
ADRA2A,0
ABLIM1,2
PRDX3,1
RGS10,2
HTRA1,0
CHST15,4
LHPP,3
MKI67,1
PGGHG,2
IFITM1,2
IFITM3,0
SIGIRR,2
ANO9,2
IRF7,5
PNPLA2,2
CD151,0
TSPAN4,0
CTSD,0
H19,0
TSPAN32,2
NAP1L4,2
RRM1,1
TRIM22,5
CAVIN3,0
SMPD1,2
APBB1,2
WEE1,1
SWAP70,3
RNF141,3
LYVE1,0
ZBED5,2
RRAS2,1
PDE3B,2
SPTY2D1,1
CD59,0
LMO2,1
SLC1A2,1
API5,1
C11orf96,0
CD82,3
TP53I11,0
LARGE2,3
DGKZ,2
MDK,1
CKAP5,1
NR1H3,0
MTCH2,1
FNBP4,2
PTPRJ,2
APLNR,0
SSRP1,1
SLC43A3,1
UBE2L6,5
SERPING1,0
LPXN,2
MPEG1,3
MS4A6A,0
MS4A1,3
CD6,2
CD5,2
CYB561A3,3
FEN1,1
FADS3,3
AHNAK,0
PLAAT4,2
CCDC88B,2
EHD1,0
CDCA5,1
SYVN1,3
CAPN1,2
LTBP3,2
CTSW,2
BANF1,1
CCS,2
RBM4,2
POLD4,3
TBC1D10C,2
CDK2AP2,1
ACY3,1
UNC93B1,3
CCND1,0
LAMTOR1,1
FOLR2,1
UCP2,1
SLCO2B1,1
ARRB1,0
SERPINH1,0
PRCP,0
EED,1
PRSS23,0
FZD4,0
CTSC,0
CHORDC1,1
MED17,2
SESN3,2
FAM76B,1
TMEM123,1
DCUN1D5,1
CASP4,2
CASP1,2
CARD16,2
AASDHPPT,1
ATM,2
POU2AF1,3
IL18,0
NNMT,0
TAGLN,0
FXYD6,0
JAML,0
CD3E,2
CD3D,2
CD3G,2
CXCR5,3
BCL9L,2
H2AFX,1
MCAM,0
THY1,0
SORL1,2
ESAM,0
ROBO4,0
APLP2,3
ST14,3
FOXM1,1
CCND2,4
VWF,0
CD9,3
TNFRSF1A,0
LTBR,0
CD27,2
MRPL51,1
NCAPD2,1
PTMS,0
LAG3,2
CD4,0
CDCA3,1
C12orf57,1
C1S,0
C1R,0
C1RL,0
RBP5,3
PEX5,1
SLC2A3,0
AICDA,1
A2M,0
CD69,2
CLEC2B,2
KLRK1,2
YBX3,0
DUSP16,2
CDKN1B,2
APOLD1,0
EMP1,0
ATF7IP,2
MGP,0
LRMP,1
FGFR1OP2,2
PPFIBP1,0
IPO8,1
TSPAN11,1
LINC02422,3
RESF1,2
NELL2,2
SLC38A2,0
PCED1B-AS1,2
RAPGEF3,0
HDAC7,1
FKBP11,4
TUBA1A,0
TUBA1C,1
TROAP,1
SPATS2,1
FMNL3,3
RACGAP1,1
COX14,1
TFCP2,1
BIN2,2
GALNT6,2
GRASP,0
NR4A1,0
MAP3K12,2
CBX5,1
ITGA5,0
TESPA1,2
SARNP,1
MMP19,0
PYM1,1
DGKA,2
ESYT1,2
STAT2,2
TIMELESS,1
LRP1,0
NDUFA4L2,0
MBD6,2
GNS,0
LEMD3,2
LYZ,0
AC020656.1,0
TMEM19,1
RAB21,1
KRR1,1
PHLDA1,0
CSRP2,0
NTS,0
DUSP6,0
LUM,0
DCN,0
LINC02397,3
PLXNC1,0
NDUFA12,1
FGD6,1
METAP2,1
SNRPF,1
TMPO,1
ACTR6,2
STAB2,0
C12orf75,1
TMEM119,3
SELPLG,2
CORO1C,0
GIT2,2
ANKRD13A,1
ARPC3,1
HVCN1,3
SH2B3,0
ALDH2,0
TRAFD1,2
OAS1,5
OAS3,5
OAS2,5
DTX1,1
SUDS3,1
BICDL1,2
PXN,2
DYNLL1,1
OASL,5
CAMKK2,0
RNF34,1
LINC01089,2
BCL7A,1
HIP1R,3
NCOR2,2
SCARB1,0
BRI3BP,1
ZMYM2,2
SAP18,1
SPATA13,2
FLT1,4
POMP,1
ALOX5AP,3
POSTN,0
LHFPL6,0
FOXO1,1
RGCC,2
TNFSF11,0
EPSTI1,5
TSC22D1,0
RUBCNL,3
LRCH1,1
TBC1D4,2
KCTD12,0
EDNRB,0
RBM26,2
IPO5,1
DOCK9,2
GPR183,0
ERCC5,2
COL4A1,0
COL4A2,0
ARHGEF7,2
TUBGCP3,1
ATP11A,2
CUL4A,2
TFDP1,1
TMEM255B,0
GAS6,4
RASA3,2
UPF3A,2
PNP,1
RNASE6,3
RNASE1,0
NDRG2,0
TRAC,2
SLC7A7,3
IRF9,2
ADCY4,0
SDR39U1,2
CTSG,0
GZMB,0
PSMA6,1
PRPF39,2
MGAT2,4
AL627171.2,4
GNG2,1
ERO1A,0
CDKN3,1
CNIH1,1
SAMD4A,3
DAAM1,1
PRKCH,2
SGPP1,1
SYNE2,1
FUT8,1
ACTN1,0
SUSD6,2
PAPLN,0
LTBP2,0
FOS,0
TGFB3,0
TMED8,3
SLIRP,1
SEL1L,4
CCDC88C,2
PPP4R3A,2
TC2N,2
RIN3,2
LGMN,0
UBR7,1
IFI27,0
SERPINA9,1
SERPINA5,1
SERPINA3,3
DICER1,2
CLMN,4
TCL1A,3
BCL11B,2
CCNK,1
DEGS2,2
EXOC3L4,1
TNFAIP2,2
CKB,2
PLD4,3
CRIP2,0
IGHA2,4
IGHE,4
IGHG4,4
IGHG2,4
IGHGP,4
IGHA1,4
IGHG1,4
IGHG3,4
IGHD,3
IGHM,4
FAM30A,3
SNRPN,2
APBA2,2
AC012236.1,4
ARHGAP11A,1
GREM1,0
GOLGA8A,2
THBS1,0
BUB1B,1
PLCB2,2
GCHFR,1
DLL4,0
NUSAP1,1
EHD4,1
ZSCAN29,2
ELL3,1
WDR76,1
BLOC1S6,1
DUT,1
SECISBP2L,2
FGF7,0
GABPB1,1
LYSMD2,1
LINC00926,3
ADAM10,0
CCNB2,1
MYO1E,1
BNIP2,1
TPM1,0
RPS27L,1
USP3,2
SNX22,3
PPIB,4
PCLAF,1
ZNF609,2
PIF1,1
PLEKHO2,0
MAP2K1,1
SMAD3,3
SEMA7A,3
ULK3,2
COX5A,1
NEIL1,1
MAN2C1,2
RCN2,1
PSTPIP1,2
IDH3A,1
PSMA4,1
BCL2A1,3
ZFAND6,3
ABHD17C,0
CEMIP,0
RAMAC,1
HAPLN3,0
MFGE8,1
FANCI,1
PRC1,1
MCTP2,3
NR2F2,0
LRRK1,1
HBA2,1
TMEM8A,2
NME4,2
SOX8,3
TPSB2,0
UNKL,2
CLCN7,2
TMEM204,2
SLC9A3R2,0
SNHG19,1
PDPK1,1
FLYWCH2,2
MMP25-AS1,2
IL32,2
PAM16,2
CORO7,2
CARHSP1,1
CIITA,3
RMI2,1
SOCS1,1
LITAF,0
TXNDC11,4
MRTFB,2
MYH11,0
GPRC5B,0
GGA2,3
NDUFAB1,1
PLK1,1
ARHGAP17,3
NSMCE1,1
IL21R,3
XPO6,2
RABEP2,3
CD19,3
LAT,2
NPIPB11,2
SPN,2
KIF22,1
AC009133.1,2
TMEM219,2
PPP4C,1
ITGAM,0
ITGAX,0
SHCBP1,1
ORC6,1
CYLD,2
RBL2,2
MMP2,0
AMFR,1
NUDT21,1
MT2A,0
MT1X,2
HERPUD1,4
CETP,0
NLRC5,2
ARL2BP,1
CCL22,2
CX3CL1,0
CCL17,2
ADGRG5,3
GOT2,1
CDH5,0
CMTM3,2
CBFB,1
TRADD,2
E2F4,1
RIPOR1,0
CARMIL2,2
SLC7A6,2
TERF2,1
WWP2,1
TERF2IP,1
MAF,1
PLCG2,3
CRISPLD2,0
C16orf74,3
FOXF1,0
KLHDC4,2
SLC7A5,4
RNF166,2
CBFA2T3,3
DPEP1,4
ZNF276,2
FANCA,1
TUBB3,1
DEF8,1
DOC2B,0
RFLNB,2
CRK,1
SERPINF1,0
P2RX5,3
ITGAE,1
P2RX1,3
SPNS2,0
ARRB2,2
GP1BA,0
SCIMP,3
C1QBP,1
NLRP1,2
TXNDC17,1
XAF1,5
CLEC10A,0
CD68,0
KDM6B,0
CHD3,2
VAMP2,2
AURKB,1
CTC1,2
HS3ST3B1,2
PMP22,0
NCOR1,2
TRPV2,2
LRRC75A,2
TNFRSF13B,3
RASD1,0
PRPSAP2,1
MFAP4,2
USP22,1
KSR1,2
LGALS9,5
NLK,1
TNFAIP1,0
SPAG5,1
NEK8,3
TRAF4,3
TP53I13,2
EVI2A,2
RAB11FIP4,2
CDK5R1,3
CCL2,0
CCL8,0
SLFN5,2
CCL5,2
CCL14,0
CCL18,1
CCL3,2
CCL4,0
CCL4L2,2
MLLT6,2
PIP4K2B,2
LASP1,0
PLXDC1,2
IKZF3,3
CSF3,0
WIPF2,1
TOP2A,1
IGFBP4,0
CCR7,2
JUP,0
ACLY,1
CNP,1
CAVIN1,0
RAMP2,0
AOC3,0
IFI35,5
GRN,0
KIF18B,1
AC008105.3,2
