CEBPB	CDKN1A	transcriptional
EGR1	TGFBR2	transcriptional
FOS	CCND1	transcriptional
FOS	VEGFA	transcriptional
FOS	IL6	transcriptional
EGR1	CCND1	transcriptional
EGR1	CDKN1A	transcriptional
CEBPB	LDLR	transcriptional
MYC	IER3	transcriptional
FOS	CCL2	transcriptional
FOS	IL1B	transcriptional
EPAS1	SERPINE1	transcriptional
MYC	PDGFRB	transcriptional
EGR1	VEGFA	transcriptional
EGR1	ATF3	transcriptional
ERG	HMOX1	transcriptional
ERG	ENG	transcriptional
JUNB	MMP2	transcriptional
MYC	ITGB1	transcriptional
CEBPB	ATF3	transcriptional
KLF6	MMP9	transcriptional
FOS	TPM1	transcriptional
CEBPB	ITGA5	transcriptional
EGR1	ID2	transcriptional
CEBPB	TPM1	transcriptional
MYC	VEGFA	transcriptional
MYC	CCND1	transcriptional
EPAS1	SPHK1	transcriptional
ERG	CDH5	transcriptional
CEBPB	C3	transcriptional
EGR1	IL6	transcriptional
BHLHE40	ID1	transcriptional
CEBPB	DUSP1	transcriptional
KLF6	ATF3	transcriptional
EGR1	THBS1	transcriptional
MYC	HES1	transcriptional
NR1H3	BHLHE40	transcriptional
ETS2	MMP9	transcriptional
CEBPB	TNFRSF1A	transcriptional
EGR1	SPP1	transcriptional
NR4A1	CDKN1A	transcriptional
EGR1	AREG	transcriptional
CEBPB	TNFSF11	transcriptional
MYC	ID1	transcriptional
ERG	ICAM1	transcriptional
ERG	VWF	transcriptional
MYC	JUNB	transcriptional
EGR1	SPRY1	transcriptional
ERG	CLDN5	transcriptional
EGR1	HES1	transcriptional
MYC	ID3	transcriptional
EGR1	MYC	transcriptional
EGR1	NR4A1	transcriptional
FOS	PLAUR	transcriptional
MYC	CSF1	transcriptional
ETS2	ICAM1	transcriptional
CEBPB	S100A9	transcriptional
FOSL2	PLAUR	transcriptional
JUNB	PTGS2	transcriptional
MYC	APP	transcriptional
MYC	BCL3	transcriptional
MYC	S1PR1	transcriptional
MYC	EGR3	transcriptional
MYC	ICAM1	transcriptional
MYC	LAMB2	transcriptional
MYC	TGFB3	transcriptional
MYC	TPM2	transcriptional
MYC	ZFP36	transcriptional
MYC	YBX3	transcriptional
MYC	SLC9A3R2	transcriptional
CEBPB	CSRP1	transcriptional
ETS2	EGR1	transcriptional
ETS2	ERG	transcriptional
ETS2	VWF	transcriptional
FOS	PLAU	transcriptional
KLF10	CDKN1A	transcriptional
MYC	DUSP1	transcriptional
MYC	SCARB1	transcriptional
NFIB	ID3	transcriptional
EPAS1	KDM6B	transcriptional
CEBPB	CCL4	transcriptional
EGR1	TIMP2	transcriptional
EGR1	EGR3	transcriptional
FOS	FOSL2	transcriptional
FOS	LDLR	transcriptional
FOS	CCN2	transcriptional
EPAS1	BHLHE40	transcriptional
BHLHE40	NR4A1	transcriptional
CEBPB	BHLHE40	transcriptional
CEBPB	DLC1	transcriptional
CEBPB	ENPP2	transcriptional
CEBPB	FOXF1	transcriptional
EGR1	ACTN1	transcriptional
EGR1	ADIRF	transcriptional
EGR1	AHNAK	transcriptional
EGR1	AOC3	transcriptional
BCL3	EGR1	transcriptional
EGR1	BHLHE40	transcriptional
EGR1	C11orf96	transcriptional
EGR1	C1R	transcriptional
EGR1	C3	transcriptional
EGR1	CD4	transcriptional
EGR1	CD59	transcriptional
EGR1	CEBPB	transcriptional
EGR1	CORO1C	transcriptional
EGR1	CRIP2	transcriptional
EGR1	EHD1	transcriptional
EGR1	EPAS1	transcriptional
EGR1	FOXF1	transcriptional
EGR1	HSPB6	transcriptional
EGR1	ITGA5	transcriptional
EGR1	JUNB	transcriptional
EGR1	JUP	transcriptional
EGR1	KDM6B	transcriptional
EGR1	KLF10	transcriptional
EGR1	KLF2	transcriptional
EGR1	LASP1	transcriptional
EGR1	LMNA	transcriptional
EGR1	MYADM	transcriptional
EGR1	NDUFA4L2	transcriptional
EGR1	NFIB	transcriptional
EGR1	NINJ1	transcriptional
EGR1	NOTCH3	transcriptional
EGR1	NR4A2	transcriptional
EGR1	PLXNB2	transcriptional
EGR1	RGS3	transcriptional
EGR1	SERPINF1	transcriptional
EGR1	SERPINH1	transcriptional
EGR1	SH2B3	transcriptional
EGR1	SLC9A3R2	transcriptional
EGR1	TTYH3	transcriptional
EGR1	ZFP36	transcriptional
FOS	EPAS1	transcriptional
EPAS1	SCARB1	transcriptional
ERG	MMP9	transcriptional
ETS2	FOS	transcriptional
FOS	AHNAK	transcriptional
FOS	ANXA1	transcriptional
FOS	APOC1	transcriptional
FOS	BHLHE40	transcriptional
FOS	CAV1	transcriptional
FOS	CD59	transcriptional
FOS	CEMIP2	transcriptional
FOS	COL14A1	transcriptional
FOS	COL1A2	transcriptional
FOS	COL6A1	transcriptional
FOS	CRIM1	transcriptional
FOS	CTSL	transcriptional
FOS	DAB2	transcriptional
FOS	DCN	transcriptional
FOS	DUSP1	transcriptional
FOS	DUSP5	transcriptional
FOS	EMP1	transcriptional
FOS	ENC1	transcriptional
FOS	FILIP1L	transcriptional
FOS	FLNB	transcriptional
FOS	ITGA5	transcriptional
FOS	JUP	transcriptional
FOS	KLF6	transcriptional
FOS	LAMB1	transcriptional
FOS	LAMC1	transcriptional
