	Source	Target	Weight
120	DC_cDC2	Endo	0
121	VSMC	Endo	0
122	T_CD4+	Endo	0
123	ILC	Endo	0
124	B_activated	Endo	0
125	Macrophages_M2	Endo	0
126	DC_pDC	Endo	0
127	NK	Endo	0
128	B_preGC	DC_cDC2	0
129	B_mem	DC_cDC2	0
130	Macrophages_M1	DC_cDC2	0
131	DC_cDC1	DC_cDC2	0
132	NKT	DC_cDC2	0
133	Mast	DC_cDC2	0
134	Monocytes	DC_cDC2	0
135	Endo	DC_cDC2	0
136	DC_cDC2	DC_cDC2	14
137	VSMC	DC_cDC2	0
138	T_CD4+	DC_cDC2	0
139	ILC	DC_cDC2	0
140	B_activated	DC_cDC2	0
141	Macrophages_M2	DC_cDC2	0
142	DC_pDC	DC_cDC2	0
143	NK	DC_cDC2	0
144	B_preGC	VSMC	0
145	B_mem	VSMC	0
146	Macrophages_M1	VSMC	0
147	DC_cDC1	VSMC	0
148	NKT	VSMC	0
149	Mast	VSMC	0
150	Monocytes	VSMC	0
151	Endo	VSMC	0
152	DC_cDC2	VSMC	0
153	VSMC	VSMC	115
154	T_CD4+	VSMC	0
155	ILC	VSMC	0
156	B_activated	VSMC	0
157	Macrophages_M2	VSMC	0
158	DC_pDC	VSMC	0
159	NK	VSMC	0
160	B_preGC	T_CD4+	0
161	B_mem	T_CD4+	0
162	Macrophages_M1	T_CD4+	0
163	DC_cDC1	T_CD4+	0
164	NKT	T_CD4+	0
165	Mast	T_CD4+	0
166	Monocytes	T_CD4+	0
167	Endo	T_CD4+	0
168	DC_cDC2	T_CD4+	0
169	VSMC	T_CD4+	0
170	T_CD4+	T_CD4+	21
171	ILC	T_CD4+	0
172	B_activated	T_CD4+	0
173	Macrophages_M2	T_CD4+	0
174	DC_pDC	T_CD4+	0
175	NK	T_CD4+	0
176	B_preGC	ILC	0
177	B_mem	ILC	0
178	Macrophages_M1	ILC	0
179	DC_cDC1	ILC	0
180	NKT	ILC	0
181	Mast	ILC	0
182	Monocytes	ILC	0
183	Endo	ILC	0
184	DC_cDC2	ILC	0
185	VSMC	ILC	0
186	T_CD4+	ILC	0
187	ILC	ILC	69
188	B_activated	ILC	0
189	Macrophages_M2	ILC	0
190	DC_pDC	ILC	0
191	NK	ILC	0
192	B_preGC	B_activated	0
193	B_mem	B_activated	0
194	Macrophages_M1	B_activated	0
195	DC_cDC1	B_activated	0
196	NKT	B_activated	0
197	Mast	B_activated	0
198	Monocytes	B_activated	0
199	Endo	B_activated	0
200	DC_cDC2	B_activated	0
201	VSMC	B_activated	0
202	T_CD4+	B_activated	0
203	ILC	B_activated	0
204	B_activated	B_activated	34
205	Macrophages_M2	B_activated	0
206	DC_pDC	B_activated	0
207	NK	B_activated	0
208	B_preGC	Macrophages_M2	0
209	B_mem	Macrophages_M2	0
210	Macrophages_M1	Macrophages_M2	0
211	DC_cDC1	Macrophages_M2	0
212	NKT	Macrophages_M2	0
213	Mast	Macrophages_M2	0
214	Monocytes	Macrophages_M2	0
215	Endo	Macrophages_M2	0
216	DC_cDC2	Macrophages_M2	0
217	VSMC	Macrophages_M2	0
218	T_CD4+	Macrophages_M2	0
219	ILC	Macrophages_M2	0
220	B_activated	Macrophages_M2	0
221	Macrophages_M2	Macrophages_M2	24
222	DC_pDC	Macrophages_M2	0
223	NK	Macrophages_M2	0
224	B_preGC	DC_pDC	0
225	B_mem	DC_pDC	0
226	Macrophages_M1	DC_pDC	0
227	DC_cDC1	DC_pDC	0
228	NKT	DC_pDC	0
229	Mast	DC_pDC	0
230	Monocytes	DC_pDC	0
231	Endo	DC_pDC	0
232	DC_cDC2	DC_pDC	0
233	VSMC	DC_pDC	0
234	T_CD4+	DC_pDC	0
235	ILC	DC_pDC	0
236	B_activated	DC_pDC	0
237	Macrophages_M2	DC_pDC	0
238	DC_pDC	DC_pDC	1
239	NK	DC_pDC	0
240	B_preGC	NK	0
241	B_mem	NK	0
242	Macrophages_M1	NK	0
243	DC_cDC1	NK	0
244	NKT	NK	0
245	Mast	NK	0
246	Monocytes	NK	0
247	Endo	NK	0
248	DC_cDC2	NK	0
249	VSMC	NK	0
250	T_CD4+	NK	0
251	ILC	NK	0
252	B_activated	NK	0
253	Macrophages_M2	NK	0
254	DC_pDC	NK	0
255	NK	NK	47
