ICAM1	ITGAX	post_translational	B_preGC,NKT,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	B_mem,NK,ILC,DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2
FN1	SDC4	post_translational	FDC,VSMC	T_Treg,NKT,ILC,DC_CCR7+,Macrophages_M1,FDC
A2M	MMP2	post_translational	Macrophages_M1,Macrophages_M2,Endo,VSMC	FDC,VSMC
MMP2	A2M	post_translational	FDC,VSMC	Macrophages_M1,Macrophages_M2,Endo,VSMC
A2M	MMP9	post_translational	Macrophages_M1,Macrophages_M2,Endo,VSMC	ILC,DC_cDC2,Macrophages_M1,Macrophages_M2
MMP9	A2M	post_translational	ILC,DC_cDC2,Macrophages_M1,Macrophages_M2	Macrophages_M1,Macrophages_M2,Endo,VSMC
ICAM1	ITGAM	post_translational	B_preGC,NKT,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	B_mem,NK,ILC,Monocytes,Macrophages_M1,Mast,FDC
ITGAM	ICAM1	post_translational	B_mem,NK,ILC,Monocytes,Macrophages_M1,Mast,FDC	B_preGC,NKT,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC
MYLK	MYL9	post_translational	DC_cDC1,Endo,VSMC	B_mem,DC_CCR7+,Endo,VSMC
MYLK	CALD1	post_translational	DC_cDC1,Endo,VSMC	Endo,FDC,VSMC
