,Unnamed: 0,gene_clusters,localization_score,clustering_rank
838,Itk,0,2.805330006121471,8.560416
839,Irgm1,5,4.753710316696624,12.480825
840,9930111J21Rik2,0,3.3474600778262924,5.6740513
841,Tgtp2,5,3.4338736184404053,6.844375
842,Ifi47,5,4.691393161500489,34.678204
843,Rnf130,1,3.4037040753202024,6.359202
844,Sqstm1,3,2.656964128070397,17.232845
845,Clk4,0,2.6772795013584747,8.757842
846,Hnrnpab,2,3.210888142202561,77.364716
847,Jade2,0,3.1627388755100707,5.1301513
848,Tcf7,1,5.562606310451426,46.584766
849,Aff4,0,3.117815963797099,8.713883
850,Irf1,5,2.9282980361523228,7.94571
851,Gm12216,5,2.886269770592324,7.070146
852,Rapgef6,0,2.835300356408836,21.807024
853,Hint1,1,1.8704575693985936,66.72354
854,Anxa6,3,2.663518749670049,36.31537
855,Larp1,0,3.1797097394649496,29.42652
856,Igtp,5,7.275579984417432,35.942616
857,Irgm2,5,4.485369550331924,6.703866
858,2410006H16Rik,1,5.50637129150992,71.142136
859,Pik3r5,0,2.6610112721597807,8.557961
860,Aurkb,2,7.310343053220507,49.209415
861,Per1,0,3.737102355587919,8.683422
862,Chd3,0,3.938188227457221,18.754051
863,Kdm6b,0,3.295753709892404,10.615824
864,Eif4a1,2,3.173576597902147,49.25067
865,Polr2a,0,3.285392558686098,19.388079
866,Eif5a,2,2.9917212034418488,73.06113
867,Rnf167,1,2.84292362490759,13.1661625
868,C1qbp,2,4.603922208248643,39.812172
869,Xaf1,5,6.401512437344834,26.188795
870,Mybbp1a,2,3.722662475641265,21.996443
871,Atp2a3,3,3.7781253561583616,21.73173
872,Itgae,1,4.324758102562927,9.0469055
873,Rflnb,1,4.330273110490926,27.38237
874,Ssh2,0,3.45455912090506,13.832041
875,Taok1,0,2.707257739883104,6.0560055
876,Rpl23a,1,2.9128477243723983,30.871342
877,Crlf3,1,2.57840648527188,4.9285336
878,Slfn5,5,6.657481355794242,17.549109
879,Slfn8,5,4.4741358165933125,12.456447
880,Slfn2,4,2.7351231585439426,26.43823
881,Slfn1,5,5.642467794174294,27.861383
882,Ccl5,3,4.700718360891886,86.568695
883,Ccl9,3,4.448292413299164,7.2258825
884,Ccl6,0,2.7683499792917803,2.4064662
885,Ccl3,3,7.0904745406408525,26.000689
886,Ccl4,0,8.01954947951535,58.38997
887,Vmp1,3,4.311722675127066,35.42027
888,Supt4a,4,3.359217226938004,25.94843
889,Vezf1,0,2.8967640672851265,12.448804
890,Trim25,5,3.4416219684558764,18.739555
891,Nme2,1,2.1463351248466966,48.272877
892,Nme1,2,4.188391339060685,75.6299
893,Tob1,4,3.4096580895158355,8.879521
894,Ppp1r9b,0,3.221121137628133,5.573191
895,Fam117a,3,3.161056183196552,18.681429
